"Year","Area","Street","Street 2","Strange HTML"
2011,"Birmingham","Acocks̴Green","Acocks Green","One &amp; Two"
2011,"Birmingham","Adderly̴Street","Adderly Street","Some &ndash; ndash"
2011,"Birmingham","Alcester̴Raod,̴Mosley","Alcester Raod, Mosley","&euro;300"
2011,"Birmingham","alcester̴road","alcester road","alcester&nbsp;road"
2011,"Birmingham","alcester̴road̴moseley","alcester road moseley","&quot;That silly man&quot;"
2011,"Birmingham","Alcester̴Road̴Moseley","Alcester Road Moseley","&lt;html&gt;"
2011,"Birmingham","Alfred̴Street","Alfred Street","One &amp; Two"
2011,"Birmingham","All̴service̴club,̴Mosley","All service club, Mosley","Some &ndash; ndash"
2011,"Birmingham","Alum̴Rock̴Road","Alum Rock Road","&euro;300"
2011,"Birmingham","Alum̴Rock̴Road","Alum Rock Road","alcester&nbsp;road"
2011,"Birmingham","Alum̴Rock̴Road","Alum Rock Road","&quot;That silly man&quot;"
2011,"Birmingham","Alum̴Rock̴Road","Alum Rock Road","&lt;html&gt;"
2011,"Birmingham","arcadian̴centre","arcadian centre","One &amp; Two"
2011,"Birmingham","Arden̴Road,̴Saltley","Arden Road, Saltley","Some &ndash; ndash"
2011,"Birmingham","Asda,̴Chemsley̴Wood","Asda, Chemsley Wood","&euro;300"
2011,"Birmingham","Balsahll̴Heath̴Park,̴J/W̴Brighton̴road","Balsahll Heath Park, J/W Brighton road","alcester&nbsp;road"
2011,"Birmingham","Bamford̴Road","Bamford Road","&quot;That silly man&quot;"
2011,"Birmingham","Bamford̴Road","Bamford Road","&lt;html&gt;"
2011,"Birmingham","BeechBrook̴Avenue̴Sparkhill","BeechBrook Avenue Sparkhill","One &amp; Two"
2011,"Birmingham","Belchers̴Lane","Belchers Lane","Some &ndash; ndash"
2011,"Birmingham","Belchers̴Lane","Belchers Lane","&euro;300"
2011,"Birmingham","Belchers̴Lane","Belchers Lane","alcester&nbsp;road"
2011,"Birmingham","Belchers̴Lane,̴Bordesley̴Green","Belchers Lane, Bordesley Green","&quot;That silly man&quot;"
2011,"Birmingham","Bell̴Street","Bell Street","&lt;html&gt;"
2011,"Birmingham","Berkley̴Rd̴East̴,̴̴Haymills.","Berkley Rd East ,  Haymills.","One &amp; Two"
2011,"Birmingham","birmingham̴airport","birmingham airport","Some &ndash; ndash"
2011,"Birmingham","Birmingham̴International̴railway̴station","Birmingham International railway station","&euro;300"
2011,"Birmingham","Bordesley̴Green","Bordesley Green","alcester&nbsp;road"
2011,"Birmingham","Bordesley̴Green̴,̴̴Bordesley̴Green.","Bordesley Green ,  Bordesley Green.","&quot;That silly man&quot;"
2011,"Birmingham","Bristol̴Road","Bristol Road","&lt;html&gt;"
2011,"Birmingham","Bristol̴Street","Bristol Street","One &amp; Two"
2011,"Birmingham","Broad̴Street","Broad Street","Some &ndash; ndash"
2011,"Birmingham","Broad̴Street","Broad Street","&euro;300"
2011,"Birmingham","Broad̴Street̴Birmingham","Broad Street Birmingham","alcester&nbsp;road"
2011,"Birmingham","Buckland̴End̴Lane̴Shard̴End","Buckland End Lane Shard End","&quot;That silly man&quot;"
2011,"Birmingham","Bulls̴Head̴PH,̴St̴Marys̴Row","Bulls Head PH, St Marys Row","&lt;html&gt;"
2011,"Birmingham","Bushbury̴Road,̴Kitts̴Green","Bushbury Road, Kitts Green",NA
2011,"Birmingham","Chartice̴Road","Chartice Road",NA
2011,"Birmingham","Chestnut̴Road","Chestnut Road",NA
2011,"Birmingham","church̴rd,̴stechford","church rd, stechford",NA
2011,"Birmingham","Church̴Road,̴Sheldon","Church Road, Sheldon",NA
2011,"Birmingham","Clifford̴RD̴Dorridge.","Clifford RD Dorridge.",NA
2011,"Birmingham","Clock̴Lane","Clock Lane",NA
2011,"Birmingham","Colonial̴road,̴Bordesley̴Green`","Colonial road, Bordesley Green`",NA
2011,"Birmingham","Corporation̴St,Birmingham","Corporation St,Birmingham",NA
2011,"Birmingham","corporation̴street","corporation street",NA
2011,"Birmingham","Coventry̴rd̴Small̴heath","Coventry rd Small heath",NA
