"Year","Area","Street","Street 2"
2011,"Birmingham","Acocksgreen",NA
2011,"Birmingham","Adderlystr.",NA
2011,"Birmingham","Alcesterraodmosley",NA
2011,"Birmingham","Alcesterroad",NA
2011,"Birmingham","Alcesterroadmoseley",NA
2011,"Birmingham","Alcesterroadmoseley",NA
2011,"Birmingham","Alfredstr.",NA
2011,"Birmingham","Allserviceclubmosley",NA
2011,"Birmingham","Alumrockroad",NA
2011,"Birmingham","Alumrockroad",NA
2011,"Birmingham","Alumrockroad",NA
2011,"Birmingham","Alumrockroad",NA
2011,"Birmingham","Arcadiancentre",NA
2011,"Birmingham","Ardenroadsaltley",NA
2011,"Birmingham","Asdachemsleywood",NA
2011,"Birmingham","Balsahllheathparkjwbrightonroad",NA
2011,"Birmingham","Bamfordroad",NA
2011,"Birmingham","Bamfordroad",NA
2011,"Birmingham","Beechbrookave.sparkhill",NA
2011,"Birmingham","Belcherslane",NA
2011,"Birmingham","Belcherslane",NA
2011,"Birmingham","Belcherslane",NA
2011,"Birmingham","Belcherslanebordesleygreen",NA
2011,"Birmingham","Bellstr.",NA
2011,"Birmingham","Berkleyrdeasthaymills",NA
2011,"Birmingham","Birminghamairport",NA
2011,"Birmingham","Birminghaminternationalrailwaystation",NA
2011,"Birmingham","Bordesleygreen",NA
2011,"Birmingham","Bordesleygreenbordesleygreen",NA
2011,"Birmingham","Bristolroad",NA
2011,"Birmingham","Bristolstr.",NA
2011,"Birmingham","Broadstr.",NA
2011,"Birmingham","Broadstr.",NA
2011,"Birmingham","Broadstr.birmingham",NA
2011,"Birmingham","Bucklandendlaneshardend",NA
2011,"Birmingham","Bullsheadphstmarysrow",NA
2011,"Birmingham","Bushburyroadkittsgreen",NA
2011,"Birmingham","Charticeroad",NA
2011,"Birmingham","Chestnutroad",NA
2011,"Birmingham","Churchrdstechford",NA
2011,"Birmingham","Churchroadsheldon",NA
2011,"Birmingham","Cliffordrddorridge",NA
2011,"Birmingham","Clocklane",NA
2011,"Birmingham","Colonialroadbordesleygreen",NA
2011,"Birmingham","Corporationstbirmingham",NA
2011,"Birmingham","Corporationstr.",NA
2011,"Birmingham","Coventryrdsmallheath",NA
2011,"Birmingham","Coventryrdsmallheathbham",NA
2011,"Birmingham","Coventryroad",NA
2011,"Birmingham","Coventryroad",NA
2011,"Birmingham","Coventryroad",NA
2011,"Birmingham","Coventryroad",NA
2011,"Birmingham","Coventryroad",NA
2011,"Birmingham","Coventryroadsmallheath",NA
2011,"Birmingham","Coventryroadsmallheath",NA
2011,"Birmingham","Coventryroadsmallheath",NA
2011,"Birmingham","Cranesparkroad",NA
2011,"Birmingham","Cranesparkroadsheldon",NA
2011,"Birmingham","Crossfieldroad",NA
2011,"Birmingham","Crossfieldsroadkittsgreen",NA
2011,"Birmingham","Cxhurchrdstechfordbham",NA
2011,"Birmingham","Digbethhighstr.",NA
2011,"Birmingham","Edgbastonroad",NA
2011,"Birmingham","Edwardroadmoseley",NA
2011,"Birmingham","Fightingcoxph",NA
2011,"Birmingham","Foremansroadsparkhill",NA
2011,"Birmingham","Frontofficekingsheath",NA
2011,"Birmingham","Garrettsgreenroadgarrettsgreen",NA
2011,"Birmingham","Gilesclose",NA
2011,"Birmingham","Gilesclosestechford",NA
2011,"Birmingham","Glazedaleroad",NA
2011,"Birmingham","Gospelfarmroad",NA
2011,"Birmingham","Gospelfarmroad",NA
2011,"Birmingham","Gospellane",NA
2011,"Birmingham","Gospellane",NA
2011,"Birmingham","Gospellane",NA
2011,"Birmingham","Gospellaneacocksgreen",NA
2011,"Birmingham","Gracechurchsuttoncoldfield",NA
2011,"Birmingham","Greathamptonstr.",NA
2011,"Birmingham","Greenlane",NA
2011,"Birmingham","Greswelllaneshardend",NA
2011,"Birmingham","Harlequindrivemosley",NA
2011,"Birmingham","Haslucksgreenroad",NA
2011,"Birmingham","Hazeldeanroad",NA
2011,"Birmingham","Heartlandshospital",NA
2011,"Birmingham","Heartlandshospital",NA
2011,"Birmingham","Heartlandshospitalae",NA
2011,"Birmingham","Heartlandshospitalae",NA
2011,"Birmingham","Heartlandshospitalae",NA
2011,"Birmingham","Hepbengrove",NA
2011,"Birmingham","Herrickroad",NA
2011,"Birmingham","Herrickroadwashwoodheath",NA
2011,"Birmingham","Herrickroadwashwoodheath",NA
2011,"Birmingham","Highstsolihull",NA
2011,"Birmingham","Highstr.kingsheath",NA
2011,"Birmingham","Highstr.kingsheath",NA
2011,"Birmingham","Highstr.kingsheath",NA
2011,"Birmingham","Hobmoorroadatstarbankroad",NA
2011,"Birmingham","Hollowayheadbhamcitycentre",NA
2011,"Birmingham","Hollywellroad",NA
2011,"Birmingham","Homeaddress",NA
2011,"Birmingham","Homeaddress",NA
2011,"Birmingham","Homerstr.",NA
2011,"Birmingham","Huntersmoonpublichouse",NA
2011,"Birmingham","Hurststr.",NA
2011,"Birmingham","Hurststr.",NA
2011,"Birmingham","Hurststr.",NA
2011,"Birmingham","Hurststr.birmingham",NA
2011,"Birmingham","Kingsheathhighstr.",NA
2011,"Birmingham","Knowlerdsmallheathbham",NA
2011,"Birmingham","Ladypoolroad",NA
2011,"Birmingham","Ladypoolroad",NA
